CTE, steer-value, p-term, i-term, d-term
0.6107,-0.0649,0.6107,69.3041,0.0000
0.6107,-0.0650,0.6107,69.9148,0.0000
0.6105,-0.0647,0.6105,70.5253,-0.0002
0.6102,-0.0646,0.6102,71.1355,-0.0003
0.6097,-0.0642,0.6097,71.7452,-0.0005
0.6091,-0.0641,0.6091,72.3543,-0.0006
0.6083,-0.0637,0.6083,72.9626,-0.0008
0.6074,-0.0635,0.6074,73.5700,-0.0009
0.6062,-0.0630,0.6062,74.1762,-0.0012
0.6050,-0.0629,0.6050,74.7812,-0.0012
0.6035,-0.0623,0.6035,75.3847,-0.0015
0.6019,-0.0621,0.6019,75.9866,-0.0016
0.6001,-0.0616,0.6001,76.5867,-0.0018
0.5959,-0.0572,0.5959,77.1826,-0.0042
0.5935,-0.0601,0.5935,77.7761,-0.0024
0.5910,-0.0597,0.5910,78.3671,-0.0025
0.5882,-0.0590,0.5882,78.9553,-0.0028
0.5852,-0.0584,0.5852,79.5405,-0.0030
0.5821,-0.0580,0.5821,80.1226,-0.0031
0.5787,-0.0573,0.5787,80.7013,-0.0034
0.5751,-0.0566,0.5751,81.2764,-0.0036
0.5713,-0.0560,0.5713,81.8477,-0.0038
0.5673,-0.0553,0.5673,82.4150,-0.0040
0.5631,-0.0547,0.5631,82.9781,-0.0042
0.5586,-0.0538,0.5586,83.5367,-0.0045
0.5539,-0.0530,0.5539,84.0906,-0.0047
0.5490,-0.0523,0.5490,84.6396,-0.0049
0.5439,-0.0515,0.5439,85.1835,-0.0051
0.5385,-0.0505,0.5385,85.7220,-0.0054
0.5385,-0.0598,0.5385,86.2605,0.0000
0.5329,-0.0498,0.5329,86.7934,-0.0056
0.5271,-0.0489,0.5271,87.3205,-0.0058
0.5210,-0.0479,0.5210,87.8415,-0.0061
0.5146,-0.0468,0.5146,88.3561,-0.0064
0.5080,-0.0459,0.5080,88.8641,-0.0066
0.5013,-0.0452,0.5013,89.3654,-0.0067
0.4942,-0.0439,0.4942,89.8596,-0.0071
0.4870,-0.0431,0.4870,90.3466,-0.0072
0.4795,-0.0419,0.4795,90.8261,-0.0075
0.4718,-0.0409,0.4718,91.2979,-0.0077
0.4638,-0.0396,0.4638,91.7617,-0.0080
0.4556,-0.0386,0.4556,92.2173,-0.0082
0.4472,-0.0375,0.4472,92.6645,-0.0084
0.4386,-0.0364,0.4386,93.1031,-0.0086
0.4298,-0.0352,0.4298,93.5329,-0.0088
0.4208,-0.0341,0.4208,93.9537,-0.0090
0.4115,-0.0327,0.4115,94.3652,-0.0093
0.4021,-0.0317,0.4021,94.7673,-0.0094
0.3924,-0.0303,0.3924,95.1597,-0.0097
0.3826,-0.0292,0.3826,95.5423,-0.0098
0.3623,-0.0095,0.3623,95.9046,-0.0203
0.3519,-0.0254,0.3519,96.2565,-0.0104
0.3414,-0.0242,0.3414,96.5979,-0.0105
0.3308,-0.0231,0.3308,96.9287,-0.0106
0.3200,-0.0218,0.3200,97.2487,-0.0108
0.3091,-0.0206,0.3091,97.5578,-0.0109
0.2980,-0.0192,0.2980,97.8558,-0.0111
0.2868,-0.0180,0.2868,98.1426,-0.0112
0.2754,-0.0166,0.2754,98.4180,-0.0114
0.2640,-0.0156,0.2640,98.6820,-0.0114
0.2524,-0.0142,0.2524,98.9344,-0.0116
0.2407,-0.0129,0.2407,99.1751,-0.0117
0.2290,-0.0118,0.2290,99.4041,-0.0117
0.2172,-0.0105,0.2172,99.6213,-0.0118
0.2053,-0.0093,0.2053,99.8266,-0.0119
0.1933,-0.0080,0.1933,100.0199,-0.0120
0.1813,-0.0068,0.1813,100.2012,-0.0120
0.1693,-0.0057,0.1693,100.3705,-0.0120
0.1693,-0.0261,0.1693,100.5398,0.0000
0.1573,-0.0046,0.1573,100.6971,-0.0120
0.1451,-0.0031,0.1451,100.8422,-0.0122
0.1329,-0.0020,0.1329,100.9751,-0.0122
0.1207,-0.0008,0.1207,101.0958,-0.0122
0.1086,0.0001,0.1086,101.2044,-0.0121
0.1086,-0.0204,0.1086,101.3130,0.0000
0.0965,0.0013,0.0965,101.4095,-0.0121
0.0843,0.0026,0.0843,101.4938,-0.0122
0.0721,0.0037,0.0721,101.5659,-0.0122
0.0600,0.0047,0.0600,101.6259,-0.0121
0.0481,0.0055,0.0481,101.6740,-0.0119
0.0362,0.0066,0.0362,101.7102,-0.0119
0.0244,0.0076,0.0244,101.7346,-0.0118
0.0128,0.0083,0.0128,101.7474,-0.0116
0.0013,0.0093,0.0013,101.7487,-0.0115
-0.0100,0.0100,-0.0100,101.7387,-0.0113
-0.0212,0.0109,-0.0212,101.7175,-0.0112
-0.0322,0.0116,-0.0322,101.6853,-0.0110
-0.0430,0.0123,-0.0430,101.6423,-0.0108
-0.0535,0.0128,-0.0535,101.5888,-0.0105
-0.0639,0.0136,-0.0639,101.5249,-0.0104
-0.0739,0.0139,-0.0739,101.4510,-0.0100
-0.0739,-0.0031,-0.0739,101.3771,0.0000
-0.0837,0.0145,-0.0837,101.2934,-0.0098
-0.0934,0.0152,-0.0934,101.2000,-0.0097
-0.1017,0.0137,-0.1017,101.0983,-0.0083
-0.1078,0.0105,-0.1078,100.9905,-0.0061
-0.1114,0.0066,-0.1114,100.8791,-0.0036
-0.1130,0.0034,-0.1130,100.7661,-0.0016
-0.1118,-0.0015,-0.1118,100.6543,0.0012
-0.1084,-0.0055,-0.1084,100.5459,0.0034
-0.1027,-0.0100,-0.1027,100.4432,0.0057
-0.1027,-0.0003,-0.1027,100.3405,0.0000
-0.0952,-0.0137,-0.0952,100.2453,0.0075
-0.0872,-0.0153,-0.0872,100.1581,0.0080
-0.0790,-0.0164,-0.0790,100.0791,0.0082
-0.0706,-0.0176,-0.0706,100.0085,0.0084
-0.0620,-0.0187,-0.0620,99.9465,0.0086
-0.0532,-0.0199,-0.0532,99.8933,0.0088
-0.0351,-0.0374,-0.0351,99.8582,0.0181
-0.0259,-0.0232,-0.0259,99.8323,0.0092
-0.0259,-0.0075,-0.0259,99.8064,0.0000
-0.0165,-0.0244,-0.0165,99.7899,0.0094
-0.0069,-0.0256,-0.0069,99.7830,0.0096
0.0027,-0.0266,0.0027,99.7857,0.0096
0.0125,-0.0278,0.0125,99.7982,0.0098
0.0223,-0.0288,0.0223,99.8205,0.0098
0.0322,-0.0299,0.0322,99.8527,0.0099
0.0421,-0.0308,0.0421,99.8948,0.0099
0.0520,-0.0318,0.0520,99.9468,0.0099
0.0520,-0.0149,0.0520,99.9988,0.0000
0.0619,-0.0327,0.0619,100.0607,0.0099
0.0719,-0.0338,0.0719,100.1326,0.0100
0.0818,-0.0346,0.0818,100.2144,0.0099
0.0918,-0.0358,0.0918,100.3062,0.0100
0.1016,-0.0364,0.1016,100.4078,0.0098
0.1113,-0.0371,0.1113,100.5191,0.0097
0.1210,-0.0380,0.1210,100.6401,0.0097
0.1305,-0.0386,0.1305,100.7706,0.0095
0.1399,-0.0394,0.1399,100.9105,0.0094
0.1491,-0.0399,0.1491,101.0596,0.0092
0.1581,-0.0404,0.1581,101.2177,0.0090
0.1669,-0.0410,0.1669,101.3846,0.0088
0.1755,-0.0414,0.1755,101.5601,0.0086
0.1839,-0.0419,0.1839,101.7440,0.0084
0.1839,-0.0277,0.1839,101.9279,0.0000
0.1920,-0.0422,0.1920,102.1199,0.0081
0.2000,-0.0428,0.2000,102.3199,0.0080
0.2076,-0.0429,0.2076,102.5275,0.0076
0.2150,-0.0433,0.2150,102.7425,0.0074
0.2221,-0.0435,0.2221,102.9646,0.0071
0.2289,-0.0436,0.2289,103.1935,0.0068
0.2353,-0.0436,0.2353,103.4288,0.0064
0.2414,-0.0437,0.2414,103.6702,0.0061
0.2471,-0.0436,0.2471,103.9173,0.0057
0.2524,-0.0434,0.2524,104.1697,0.0053
0.2574,-0.0434,0.2574,104.4271,0.0050
0.2619,-0.0430,0.2619,104.6890,0.0045
0.2661,-0.0429,0.2661,104.9551,0.0042
0.2698,-0.0424,0.2698,105.2249,0.0037
0.2731,-0.0421,0.2731,105.4980,0.0033
0.2759,-0.0415,0.2759,105.7739,0.0028
0.2783,-0.0411,0.2783,106.0522,0.0024
0.2803,-0.0407,0.2803,106.3325,0.0020
0.2818,-0.0400,0.2818,106.6143,0.0015
0.2829,-0.0394,0.2829,106.8972,0.0011
0.2835,-0.0387,0.2835,107.1807,0.0006
0.2836,-0.0379,0.2836,107.4643,0.0001
0.2833,-0.0372,0.2833,107.7476,-0.0003
0.2825,-0.0363,0.2825,108.0301,-0.0008
0.2812,-0.0353,0.2812,108.3113,-0.0013
0.2794,-0.0343,0.2794,108.5907,-0.0018
0.2794,-0.0374,0.2794,108.8701,0.0000
0.2773,-0.0337,0.2773,109.1474,-0.0021
0.2757,-0.0344,0.2757,109.4231,-0.0016
0.2768,-0.0391,0.2768,109.6999,0.0011
0.2877,-0.0569,0.2877,109.9876,0.0109
0.3108,-0.0798,0.3108,110.2984,0.0231
0.3108,-0.0406,0.3108,110.6092,0.0000
0.3242,-0.0647,0.3242,110.9334,0.0134
0.3370,-0.0649,0.3370,111.2704,0.0128
0.3491,-0.0649,0.3491,111.6195,0.0121
0.3605,-0.0648,0.3605,111.9800,0.0114
0.3711,-0.0645,0.3711,112.3511,0.0106
0.3810,-0.0643,0.3810,112.7321,0.0099
0.3901,-0.0638,0.3901,113.1222,0.0091
0.3983,-0.0631,0.3983,113.5205,0.0082
0.4057,-0.0625,0.4057,113.9262,0.0074
0.4122,-0.0616,0.4122,114.3384,0.0065
0.4179,-0.0609,0.4179,114.7563,0.0057
0.4179,-0.0512,0.4179,115.1742,0.0000
0.4226,-0.0597,0.4226,115.5968,0.0047
0.4265,-0.0587,0.4265,116.0233,0.0039
0.4294,-0.0574,0.4294,116.4527,0.0029
0.4315,-0.0563,0.4315,116.8842,0.0021
0.4325,-0.0545,0.4325,117.3167,0.0010
0.4327,-0.0532,0.4327,117.7494,0.0002
0.4319,-0.0515,0.4319,118.1813,-0.0008
0.4301,-0.0497,0.4301,118.6114,-0.0018
0.4274,-0.0479,0.4274,119.0388,-0.0027
0.4238,-0.0461,0.4238,119.4626,-0.0036
0.4192,-0.0440,0.4192,119.8818,-0.0046
0.4073,-0.0305,0.4073,120.2891,-0.0119
0.3999,-0.0375,0.3999,120.6890,-0.0074
0.3918,-0.0356,0.3918,121.0808,-0.0081
0.3828,-0.0332,0.3828,121.4636,-0.0090
0.3729,-0.0308,0.3729,121.8365,-0.0099
0.3623,-0.0286,0.3623,122.1988,-0.0106
0.3509,-0.0262,0.3509,122.5497,-0.0114
0.3387,-0.0237,0.3387,122.8884,-0.0122
0.3387,-0.0445,0.3387,123.2271,0.0000
0.3258,-0.0214,0.3258,123.5529,-0.0129
0.3121,-0.0187,0.3121,123.8650,-0.0137
0.2977,-0.0162,0.2977,124.1627,-0.0144
0.2827,-0.0138,0.2827,124.4454,-0.0150
0.2671,-0.0113,0.2671,124.7125,-0.0156
0.2509,-0.0088,0.2509,124.9634,-0.0162
0.2343,-0.0066,0.2343,125.1977,-0.0166
0.2172,-0.0041,0.2172,125.4149,-0.0171
0.1997,-0.0018,0.1997,125.6146,-0.0175
0.1819,0.0004,0.1819,125.7965,-0.0178
0.1637,0.0028,0.1637,125.9602,-0.0182
0.1482,-0.0003,0.1482,126.1084,-0.0155
0.1380,-0.0084,0.1380,126.2464,-0.0102
0.1317,-0.0144,0.1317,126.3781,-0.0063
0.1306,-0.0232,0.1306,126.5087,-0.0011
0.1336,-0.0305,0.1336,126.6423,0.0030
0.1336,-0.0254,0.1336,126.7759,0.0000
0.1369,-0.0313,0.1369,126.9128,0.0033
0.1428,-0.0363,0.1428,127.0556,0.0059
0.1453,-0.0308,0.1453,127.2009,0.0025
0.1475,-0.0305,0.1475,127.3484,0.0022
0.1494,-0.0302,0.1494,127.4978,0.0019
0.1510,-0.0298,0.1510,127.6488,0.0016
0.1522,-0.0293,0.1522,127.8010,0.0012
0.1532,-0.0290,0.1532,127.9542,0.0010
0.1538,-0.0284,0.1538,128.1080,0.0006
0.1542,-0.0282,0.1542,128.2622,0.0004
0.1541,-0.0273,0.1541,128.4163,-0.0001
0.1538,-0.0270,0.1538,128.5701,-0.0003
0.1531,-0.0262,0.1531,128.7232,-0.0007
0.1522,-0.0258,0.1522,128.8754,-0.0009
0.1509,-0.0250,0.1509,129.0263,-0.0013
0.1492,-0.0242,0.1492,129.1755,-0.0017
0.1473,-0.0237,0.1473,129.3228,-0.0019
0.1451,-0.0230,0.1451,129.4679,-0.0022
0.1425,-0.0221,0.1425,129.6104,-0.0026
0.1397,-0.0215,0.1397,129.7501,-0.0028
0.1365,-0.0205,0.1365,129.8866,-0.0032
0.1331,-0.0199,0.1331,130.0197,-0.0034
0.1295,-0.0192,0.1295,130.1492,-0.0036
0.1255,-0.0181,0.1255,130.2747,-0.0040
0.1214,-0.0176,0.1214,130.3961,-0.0041
0.1170,-0.0167,0.1170,130.5131,-0.0044
0.1124,-0.0159,0.1124,130.6255,-0.0046
0.1075,-0.0150,0.1075,130.7330,-0.0049
0.1025,-0.0143,0.1025,130.8355,-0.0050
0.0974,-0.0137,0.0974,130.9329,-0.0051
0.0921,-0.0128,0.0921,131.0250,-0.0053
0.0866,-0.0120,0.0866,131.1116,-0.0055
0.0866,-0.0213,0.0866,131.1982,0.0000
0.0754,-0.0013,0.0754,131.2736,-0.0112
0.0696,-0.0099,0.0696,131.3432,-0.0058
0.0637,-0.0092,0.0637,131.4069,-0.0059
0.0579,-0.0088,0.0579,131.4648,-0.0058
0.0523,-0.0086,0.0523,131.5171,-0.0056
0.0527,-0.0188,0.0527,131.5698,0.0004
0.0607,-0.0325,0.0607,131.6305,0.0080
0.0659,-0.0283,0.0659,131.6964,0.0052
0.0802,-0.0451,0.0802,131.7766,0.0143
0.0975,-0.0519,0.0975,131.8741,0.0173
0.1146,-0.0532,0.1146,131.9887,0.0171
0.1313,-0.0541,0.1313,132.1200,0.0167
0.1313,-0.0257,0.1313,132.2513,0.0000
0.1476,-0.0550,0.1476,132.3989,0.0163
0.1636,-0.0560,0.1636,132.5625,0.0160
0.1791,-0.0566,0.1791,132.7416,0.0155
0.1942,-0.0574,0.1942,132.9358,0.0151
0.2086,-0.0576,0.2086,133.1444,0.0144
0.2224,-0.0579,0.2224,133.3668,0.0138
0.2356,-0.0582,0.2356,133.6024,0.0132
0.2480,-0.0580,0.2480,133.8504,0.0124
0.2597,-0.0580,0.2597,134.1101,0.0117
0.2706,-0.0577,0.2706,134.3807,0.0109
0.2807,-0.0573,0.2807,134.6614,0.0101
0.2899,-0.0567,0.2899,134.9513,0.0092
0.2983,-0.0561,0.2983,135.2496,0.0084
0.3123,-0.0670,0.3123,135.5619,0.0140
0.3179,-0.0533,0.3179,135.8798,0.0056
0.3225,-0.0521,0.3225,136.2023,0.0046
0.3225,-0.0443,0.3225,136.5248,0.0000
0.3261,-0.0508,0.3261,136.8509,0.0036
0.3287,-0.0494,0.3287,137.1796,0.0026
0.3304,-0.0480,0.3304,137.5100,0.0017
0.3308,-0.0459,0.3308,137.8408,0.0004
0.3295,-0.0429,0.3295,138.1703,-0.0013
0.3272,-0.0410,0.3272,138.4975,-0.0023
0.3239,-0.0390,0.3239,138.8214,-0.0033
0.3197,-0.0371,0.3197,139.1411,-0.0042
0.3145,-0.0350,0.3145,139.4556,-0.0052
0.3084,-0.0329,0.3084,139.7640,-0.0061
0.3014,-0.0307,0.3014,140.0654,-0.0070
0.2936,-0.0287,0.2936,140.3590,-0.0078
0.2848,-0.0262,0.2848,140.6438,-0.0088
0.2753,-0.0241,0.2753,140.9191,-0.0095
0.2649,-0.0216,0.2649,141.1840,-0.0104
0.2538,-0.0194,0.2538,141.4378,-0.0111
0.2295,0.0053,0.2295,141.6673,-0.0243
0.2163,-0.0123,0.2163,141.8836,-0.0132
0.2027,-0.0103,0.2027,142.0863,-0.0136
0.1885,-0.0080,0.1885,142.2748,-0.0142
0.1751,-0.0081,0.1751,142.4499,-0.0134
0.1695,-0.0208,0.1695,142.6194,-0.0056
0.1754,-0.0410,0.1754,142.7948,0.0059
0.1795,-0.0383,0.1795,142.9743,0.0041
0.1795,-0.0314,0.1795,143.1538,0.0000
0.1995,-0.0673,0.1995,143.3533,0.0200
0.2219,-0.0735,0.2219,143.5752,0.0224
0.2434,-0.0741,0.2434,143.8186,0.0215
0.2639,-0.0743,0.2639,144.0825,0.0205
0.2833,-0.0743,0.2833,144.3658,0.0194
0.3015,-0.0740,0.3015,144.6673,0.0182
0.3188,-0.0742,0.3188,144.9861,0.0173
0.3349,-0.0737,0.3349,145.3210,0.0161
0.3349,-0.0464,0.3349,145.6559,0.0000
0.3500,-0.0735,0.3500,146.0059,0.0151
0.3642,-0.0734,0.3642,146.3701,0.0142
0.3773,-0.0728,0.3773,146.7474,0.0131
0.3891,-0.0717,0.3891,147.1365,0.0118
0.3998,-0.0709,0.3998,147.5363,0.0107
0.4092,-0.0696,0.4092,147.9455,0.0094
0.4174,-0.0684,0.4174,148.3629,0.0082
0.4242,-0.0667,0.4242,148.7871,0.0068
0.4297,-0.0651,0.4297,149.2168,0.0055
0.4339,-0.0633,0.4339,149.6507,0.0042
0.4368,-0.0614,0.4368,150.0875,0.0029
0.4383,-0.0592,0.4383,150.5258,0.0015
0.4385,-0.0571,0.4385,150.9643,0.0002
0.4373,-0.0546,0.4373,151.4016,-0.0012
0.4348,-0.0522,0.4348,151.8364,-0.0025
0.4310,-0.0497,0.4310,152.2674,-0.0038
0.4258,-0.0469,0.4258,152.6932,-0.0052
0.4194,-0.0443,0.4194,153.1126,-0.0064
0.4117,-0.0414,0.4117,153.5243,-0.0077
0.4027,-0.0383,0.4027,153.9270,-0.0090
0.3925,-0.0354,0.3925,154.3195,-0.0102
0.3811,-0.0323,0.3811,154.7006,-0.0114
0.3686,-0.0293,0.3686,155.0692,-0.0125
0.3550,-0.0261,0.3550,155.4242,-0.0136
0.3403,-0.0229,0.3403,155.7645,-0.0147
0.3245,-0.0196,0.3245,156.0890,-0.0158
0.3078,-0.0165,0.3078,156.3968,-0.0167
0.2748,0.0143,0.2748,156.6716,-0.0330
0.2631,-0.0208,0.2631,156.9347,-0.0117
0.2498,-0.0168,0.2498,157.1845,-0.0133
0.2453,-0.0314,0.2453,157.4298,-0.0045
0.2403,-0.0301,0.2403,157.6701,-0.0050
0.2345,-0.0282,0.2345,157.9046,-0.0058
0.2281,-0.0266,0.2281,158.1327,-0.0064
0.2211,-0.0249,0.2211,158.3538,-0.0070
0.2135,-0.0232,0.2135,158.5673,-0.0076
0.2053,-0.0214,0.2053,158.7726,-0.0082
0.1966,-0.0198,0.1966,158.9692,-0.0087
0.1873,-0.0179,0.1873,159.1565,-0.0093
0.1775,-0.0161,0.1775,159.3340,-0.0098
0.1673,-0.0145,0.1673,159.5013,-0.0102
0.1567,-0.0128,0.1567,159.6580,-0.0106
0.1567,-0.0309,0.1567,159.8147,0.0000
0.1456,-0.0110,0.1456,159.9603,-0.0111
0.1341,-0.0092,0.1341,160.0944,-0.0115
0.1222,-0.0074,0.1222,160.2166,-0.0119
0.1101,-0.0059,0.1101,160.3267,-0.0121
0.0976,-0.0041,0.0976,160.4243,-0.0125
0.0850,-0.0027,0.0850,160.5093,-0.0126
0.0721,-0.0010,0.0721,160.5814,-0.0129
0.0591,0.0004,0.0591,160.6405,-0.0130
0.0460,0.0018,0.0460,160.6865,-0.0131
0.0328,0.0033,0.0328,160.7193,-0.0132
0.0197,0.0043,0.0197,160.7390,-0.0131
0.0066,0.0056,0.0066,160.7456,-0.0131
-0.0065,0.0068,-0.0065,160.7391,-0.0131
-0.0194,0.0077,-0.0194,160.7197,-0.0129
-0.0321,0.0086,-0.0321,160.6876,-0.0127
-0.0446,0.0094,-0.0446,160.6430,-0.0125
-0.0569,0.0103,-0.0569,160.5861,-0.0123
-0.0688,0.0107,-0.0688,160.5173,-0.0119
-0.0796,0.0099,-0.0796,160.4377,-0.0108
-0.0891,0.0086,-0.0891,160.3486,-0.0095
-0.0474,-0.0824,-0.0474,160.3012,0.0417
-0.0176,-0.0650,-0.0176,160.2836,0.0298
0.0124,-0.0682,0.0124,160.2960,0.0300
0.0420,-0.0703,0.0420,160.3380,0.0296
0.0712,-0.0724,0.0712,160.4092,0.0292
0.0999,-0.0743,0.0999,160.5091,0.0287
0.1553,-0.1250,0.1553,160.6644,0.0554
0.1818,-0.0784,0.1818,160.8462,0.0265
0.2071,-0.0788,0.2071,161.0533,0.0253
0.2315,-0.0796,0.2315,161.2848,0.0244
0.2548,-0.0800,0.2548,161.5396,0.0233
0.2771,-0.0804,0.2771,161.8167,0.0223
0.2982,-0.0804,0.2982,162.1149,0.0211
0.3183,-0.0807,0.3183,162.4332,0.0201
0.3375,-0.0810,0.3375,162.7707,0.0192
0.3555,-0.0807,0.3555,163.1262,0.0180
0.3725,-0.0806,0.3725,163.4987,0.0170
0.3883,-0.0801,0.3883,163.8870,0.0158
0.4028,-0.0793,0.4028,164.2898,0.0145
0.4161,-0.0786,0.4161,164.7059,0.0133
0.4281,-0.0776,0.4281,165.1340,0.0120
0.4387,-0.0763,0.4387,165.5727,0.0106
0.4480,-0.0750,0.4480,166.0207,0.0093
0.4558,-0.0732,0.4558,166.4765,0.0078
0.4558,-0.0600,0.4558,166.9323,0.0000
0.4622,-0.0715,0.4622,167.3945,0.0064
0.4673,-0.0698,0.4673,167.8618,0.0051
0.4709,-0.0677,0.4709,168.3327,0.0036
0.4730,-0.0654,0.4730,168.8057,0.0021
0.4736,-0.0629,0.4736,169.2793,0.0006
0.4728,-0.0605,0.4728,169.7521,-0.0008
0.4705,-0.0578,0.4705,170.2226,-0.0023
0.4667,-0.0549,0.4667,170.6893,-0.0038
0.4615,-0.0521,0.4615,171.1508,-0.0052
0.4548,-0.0490,0.4548,171.6056,-0.0067
0.4467,-0.0459,0.4467,172.0523,-0.0081
0.4372,-0.0426,0.4372,172.4895,-0.0095
0.4264,-0.0394,0.4264,172.9159,-0.0108
0.4142,-0.0359,0.4142,173.3301,-0.0122
0.4007,-0.0325,0.4007,173.7308,-0.0135
0.3859,-0.0289,0.3859,174.1167,-0.0148
0.3699,-0.0254,0.3699,174.4866,-0.0160
0.3528,-0.0219,0.3528,174.8394,-0.0171
0.3345,-0.0182,0.3345,175.1739,-0.0183
0.3152,-0.0147,0.3152,175.4891,-0.0193
0.2949,-0.0111,0.2949,175.7840,-0.0203
0.2737,-0.0076,0.2737,176.0577,-0.0212
0.2516,-0.0040,0.2516,176.3093,-0.0221
0.2287,-0.0005,0.2287,176.5380,-0.0229
0.2287,-0.0394,0.2287,176.7667,0.0000
